,branch,synset,glossary,full_expert_agrmt,expert_label
68,musical_instrument.n.01,acoustic_guitar.n.01,sound is not amplified by electrical means,True,0
31,edible_fruit.n.01,apple.n.01,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,True,1
96,furniture.n.01,armchair.n.01,chair with a support on each side for arms,True,0
90,furniture.n.01,armoire.n.01,a large wardrobe or cabinet; originally used for storing weapons,True,0
5,hand_tool.n.01,awl.n.01,a pointed tool for marking surfaces or for punching small holes,True,1
105,furniture.n.01,baby_bed.n.01,a small bed for babies; enclosed by sides to prevent the baby from falling,False,1
71,musical_instrument.n.01,bagpipe.n.01,a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone,True,1
78,musical_instrument.n.01,bass_clarinet.n.01,a large clarinet whose range is an octave below the B-flat clarinet,True,0
53,musical_instrument.n.01,bass_horn.n.01,the lowest brass wind instrument,True,1
73,musical_instrument.n.01,bassoon.n.01,a double-reed instrument; the tenor of the oboe family,False,1
126,clothing.n.01,bathrobe.n.01,a loose-fitting robe of towelling; worn after a bath or swim,True,0
91,furniture.n.01,bed.n.01,a piece of furniture that provides a place to sleep,True,1
93,furniture.n.01,bench.n.01,a long seat for more than one person,True,1
130,clothing.n.01,bikini.n.02,a woman's very brief bathing suit,True,0
40,edible_fruit.n.01,bitter_orange.n.02,highly acidic orange used especially in marmalade,True,0
120,clothing.n.01,blazer.n.01,lightweight single-breasted jacket; often striped in the colors of a club or school,True,0
62,musical_instrument.n.01,bongo.n.01,a small drum; played with the hands,True,0
50,edible_fruit.n.01,bosc.n.01,greenish-yellow pear,True,0
128,clothing.n.01,bow_tie.n.01,a man's tie that ties in a bow,False,0
6,hand_tool.n.01,bradawl.n.01,an awl for making small holes for brads or small screws,True,0
123,clothing.n.01,brassiere.n.01,an undergarment worn by women to support their breasts,True,1
28,hand_tool.n.01,brick_trowel.n.01,a trowel used in masonry,True,0
92,furniture.n.01,bunk_bed.n.01,beds built one above the other,True,0
118,clothing.n.01,business_suit.n.01,a suit of clothes traditionally worn by businessmen,True,0
81,furniture.n.01,cabinet.n.01,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display,True,1
100,furniture.n.01,campstool.n.01,a folding stool,True,0
11,hand_tool.n.01,can_opener.n.01,a device for cutting cans open,True,1
134,clothing.n.01,cape.n.02,a sleeveless garment like a cloak but shorter,False,0
10,hand_tool.n.01,carpenter's_hammer.n.01,a hammer with a cleft at one end for pulling nails,True,0
26,hand_tool.n.01,carpenter's_square.n.01,a steel square used by carpenters; larger than a try square,True,0
104,furniture.n.01,cathedra.n.01,a throne that is the official chair of a bishop,False,0
95,furniture.n.01,chair.n.01,"a seat for one person, with a support for the back",True,1
42,edible_fruit.n.01,cherimoya.n.02,large tropical fruit with leathery skin and soft pulp; related to custard apples,False,0
33,edible_fruit.n.01,cherry.n.03,a red fruit with a single hard stone,True,1
83,furniture.n.01,chest_of_drawers.n.01,furniture with drawers for keeping clothes,True,1
12,hand_tool.n.01,church_key.n.01,can opener that has a triangular pointed end that pierces the tops of cans,True,0
77,musical_instrument.n.01,clarinet.n.01,a single-reed instrument with a straight tube,True,1
38,edible_fruit.n.01,clementine.n.02,a mandarin orange of a deep reddish orange color and few seeds,True,0
133,clothing.n.01,cloak.n.02,a loose outer garment,False,1
4,clothing.n.01,clothing.n.01,a covering designed to be worn on a person's body,True,0
121,clothing.n.01,coat.n.01,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,True,1
88,furniture.n.01,coffee_table.n.01,low table where magazines can be placed and coffee or cocktails are served,True,0
74,musical_instrument.n.01,contrabassoon.n.01,the bassoon that is the largest instrument in the oboe family,False,0
106,furniture.n.01,cradle.n.01,a baby bed with sides and rockers,False,0
30,hand_tool.n.01,crescent_wrench.n.01,an adjustable wrench designed to fit hexagonal nuts with the adjusting screw built into the head of the wrench,True,0
41,edible_fruit.n.01,custard_apple.n.02,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp,False,1
59,musical_instrument.n.01,cymbal.n.01,a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together,False,1
52,edible_fruit.n.01,damson.n.01,dark purple plum of the damson tree,True,0
101,furniture.n.01,desk.n.01,a piece of furniture with a writing surface and usually drawers or other compartments,True,1
82,furniture.n.01,dresser.n.05,a cabinet with shelves,True,0
61,musical_instrument.n.01,drum.n.01,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,True,1
1,edible_fruit.n.01,edible_fruit.n.01,edible reproductive body of a seed plant especially one having sweet flesh,True,0
54,musical_instrument.n.01,euphonium.n.01,a bass horn (brass wind instrument) that is the tenor of the tuba family,True,0
136,clothing.n.01,face_veil.n.01,a piece of more-or-less transparent material that covers the face,False,0
7,hand_tool.n.01,file.n.04,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,True,1
86,furniture.n.01,floor_lamp.n.01,a lamp that stands on the floor,True,0
79,musical_instrument.n.01,flute.n.01,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,True,1
3,furniture.n.01,furniture.n.01,furnishings that make a room or other area ready for occupancy,True,0
48,edible_fruit.n.01,granadilla.n.04,the egg-shaped edible fruit of tropical American vines related to passionflowers,True,0
58,musical_instrument.n.01,grand_piano.n.01,a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,True,0
32,edible_fruit.n.01,granny_smith.n.01,apple with a green skin and hard tart flesh,True,0
43,edible_fruit.n.01,grape.n.01,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters,True,1
67,musical_instrument.n.01,guitar.n.01,a stringed instrument usually having six strings; played by strumming or plucking,True,1
9,hand_tool.n.01,hammer.n.02,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,True,1
0,hand_tool.n.01,hand_tool.n.01,a tool used with workers' hands,True,0
18,hand_tool.n.01,handsaw.n.01,a saw used with one hand for cutting wood,True,0
65,musical_instrument.n.01,harp.n.01,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers,True,1
55,musical_instrument.n.01,harpsichord.n.01,a clavier with strings that are plucked by plectra mounted on pivots,False,1
34,edible_fruit.n.01,heart_cherry.n.02,large heart-shaped sweet cherry with soft flesh,True,0
76,musical_instrument.n.01,heckelphone.n.01,an oboe pitched an octave below the ordinary oboe,True,0
60,musical_instrument.n.01,high-hat_cymbal.n.01,cymbals that are operated by a foot pedal,False,0
84,furniture.n.01,highboy.n.01,a tall chest of drawers divided into two sections and supported on four legs,True,0
119,clothing.n.01,jacket.n.01,a short coat,True,1
36,edible_fruit.n.01,key_lime.n.01,small yellow-green limes of southern Florida,True,0
85,furniture.n.01,lamp.n.02,a piece of furniture holding one or more electric light bulbs,True,1
35,edible_fruit.n.01,lime.n.06,the green acidic fruit of any of various lime trees,True,1
132,clothing.n.01,long_johns.n.01,warm underwear with long legs,False,0
98,furniture.n.01,love_seat.n.01,small sofa that seats two people,True,0
66,musical_instrument.n.01,lyre.n.01,a harp used by ancient Greeks for accompaniment,True,0
37,edible_fruit.n.01,mandarin.n.05,a somewhat flat reddish-orange loose skinned citrus of China,True,1
45,edible_fruit.n.01,melon.n.01,any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh,True,1
112,clothing.n.01,miniskirt.n.01,a very short skirt,True,0
114,clothing.n.01,muffler.n.02,a scarf worn around the neck,True,0
72,musical_instrument.n.01,musette.n.01,a small bagpipe formerly popular in France,True,0
2,musical_instrument.n.01,musical_instrument.n.01,any of various devices or contrivances that can be used to produce musical tones or sounds,True,0
8,hand_tool.n.01,nailfile.n.01,a small flat file for shaping the nails,True,0
127,clothing.n.01,necktie.n.01,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,False,1
16,hand_tool.n.01,needlenose_pliers.n.01,small pliers with long thin jaws for fine work,True,0
75,musical_instrument.n.01,oboe.n.01,a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece,True,1
39,edible_fruit.n.01,orange.n.01,round yellow to orange fruit of any of several citrus trees,True,1
47,edible_fruit.n.01,passion_fruit.n.01,egg-shaped tropical fruit of certain passionflower vines; used for sherbets and confectionery and drinks,True,1
49,edible_fruit.n.01,pear.n.01,sweet juicy gritty-textured fruit available in many varieties,True,1
94,furniture.n.01,pew.n.01,long bench with backs; used in church by the congregation,True,0
20,hand_tool.n.01,phillips_screwdriver.n.01,a screwdriver for use with Phillips screws,True,0
57,musical_instrument.n.01,piano.n.01,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds,True,1
80,musical_instrument.n.01,piccolo.n.01,a small flute; pitched an octave above the standard flute,True,0
13,hand_tool.n.01,plane.n.05,a carpenter's hand tool with an adjustable blade for smoothing or shaping wood,True,1
15,hand_tool.n.01,pliers.n.01,a gripping hand tool with two hinged arms and (usually) serrated jaws,True,1
51,edible_fruit.n.01,plum.n.02,any of numerous varieties of small to medium-sized round or oval fruit having a smooth skin and a single pit,True,1
24,hand_tool.n.01,putty_knife.n.01,a spatula used to mix or apply putty,False,0
122,clothing.n.01,raincoat.n.01,a water-resistant coat,True,0
125,clothing.n.01,robe.n.01,any loose flowing garment,True,1
70,musical_instrument.n.01,sackbut.n.01,a medieval musical instrument resembling a trombone,True,0
17,hand_tool.n.01,saw.n.02,hand tool having a toothed blade for cutting,True,1
113,clothing.n.01,scarf.n.01,a garment worn around the head or neck or shoulders for warmth or decoration,True,1
19,hand_tool.n.01,screwdriver.n.01,a hand tool for driving screws; has a tip that fits into the head of a screw,True,1
115,clothing.n.01,shirt.n.01,a garment worn on the upper half of the body,True,1
21,hand_tool.n.01,shovel.n.01,a hand tool for lifting loose material; consists of a curved container or scoop and a handle,True,1
111,clothing.n.01,skirt.n.02,a garment hanging from the waist; worn mainly by girls and women,True,1
14,hand_tool.n.01,smooth_plane.n.01,a small plane for finish work,True,0
97,furniture.n.01,sofa.n.01,an upholstered seat for more than one person,True,1
22,hand_tool.n.01,spade.n.02,a sturdy hand shovel that can be pushed into the earth with the foot,True,0
23,hand_tool.n.01,spatula.n.02,a hand tool with a thin flexible blade used to mix or spread soft substances,False,1
56,musical_instrument.n.01,spinet.n.02,early model harpsichord with only one string per note,False,0
25,hand_tool.n.01,square.n.08,a hand tool consisting of two straight arms at right angles; used to construct or test right angles,True,1
99,furniture.n.01,stool.n.01,a simple seat without a back or arms,True,1
64,musical_instrument.n.01,stradavarius.n.01,a violin made by Antonio Stradivari or a member of his family,True,0
117,clothing.n.01,suit.n.01,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color,True,1
44,edible_fruit.n.01,sultana.n.01,pale yellow seedless grape used for raisins and wine,True,0
108,clothing.n.01,sweat_pants.n.01,loose-fitting trousers with elastic cuffs; worn by athletes,True,0
109,clothing.n.01,sweater.n.01,a crocheted or knitted garment covering the upper part of the body,True,1
129,clothing.n.01,swimsuit.n.01,tight fitting garment worn for swimming,True,1
87,furniture.n.01,table.n.02,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,True,1
116,clothing.n.01,tank_top.n.01,a tight-fitting sleeveless shirt with wide shoulder straps and low neck and no front opening; often worn over a shirt or blouse,True,0
103,furniture.n.01,throne.n.01,"the chair of state for a monarch, bishop, etc.",False,1
69,musical_instrument.n.01,trombone.n.01,a brass instrument consisting of a long tube whose length can be varied by a U-shaped slide,True,1
107,clothing.n.01,trouser.n.01,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",True,1
27,hand_tool.n.01,trowel.n.01,a small hand tool with a handle and flat metal blade; used for scooping or spreading plaster or similar materials,True,1
110,clothing.n.01,turtleneck.n.01,a sweater or jersey with a high close-fitting collar,True,0
131,clothing.n.01,underwear.n.01,undergarment worn next to the skin and under the outer garments,False,1
124,clothing.n.01,uplift.n.02,a brassiere that lifts and supports the breasts,True,0
135,clothing.n.01,veil.n.01,a garment that covers the head and face,False,1
63,musical_instrument.n.01,violin.n.01,bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow,True,1
89,furniture.n.01,wardrobe.n.01,a tall piece of furniture that provides storage space for clothes; has a door and rails or hooks for hanging clothes,True,1
46,edible_fruit.n.01,watermelon.n.02,large oblong or roundish melon with a hard green rind and sweet watery red or occasionally yellowish pulp,True,0
29,hand_tool.n.01,wrench.n.03,a hand tool that is used to hold or twist a nut or bolt,True,1
102,furniture.n.01,writing_desk.n.02,a desk for writing (usually with a sloping top),True,0
