,branch,synset,glossary,expert_certainty,old_bl_label,blness,accuracy,p1_rt,p1_acc,p2_rt,p2_acc,p3_rt,p3_acc,p4_rt,p4_acc,p5_rt,p5_acc,p6_rt,p6_acc,p7_rt,p7_acc,p8_rt,p8_acc,p9_rt,p9_acc,p10_rt,p10_acc,p11_rt,p11_acc,p12_rt,p12_acc,p13_rt,p13_acc,p14_rt,p14_acc,p15_rt,p15_acc,p16_rt,p16_acc,p17_rt,p17_acc,p18_rt,p18_acc,p19_rt,p19_acc,p20_rt,p20_acc,p21_rt,p21_acc,p22_rt,p22_acc,p23_rt,p23_acc,p24_rt,p24_acc,sample_mean_rt,sample_median_rt,sample_mean_acc,sample_std_deviation
68,musical_instrument.n.01,acoustic_guitar.n.01,sound is not amplified by electrical means,True,0,0.5,1.0,551.0,1.0,410.5,1.0,518.5,1.0,594.0,1.0,427.5,1.0,466.5,1.0,430.5,1.0,603.5,1.0,1148.5,1.0,530.5,1.0,606.0,1.0,501.5,1.0,586.0,0.5,596.0,1.0,418.5,1.0,492.5,1.0,455.5,1.0,472.0,1.0,633.5,1.0,666.0,0.5,409.0,1.0,522.5,1.0,361.0,1.0,843.5,1.0,551.8541666666666,520.5,0.9583333333333334,165.16819353555059
31,edible_fruit.n.01,apple.n.01,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,True,1,1.0,1.0,437.5,1.0,630.0,1.0,469.5,1.0,405.5,1.0,540.5,1.0,340.0,1.0,430.5,1.0,638.0,1.0,697.0,1.0,506.0,1.0,514.5,1.0,516.5,1.0,612.5,1.0,407.5,1.0,440.0,1.0,486.5,1.0,586.0,1.0,515.5,1.0,819.5,1.0,623.5,1.0,382.0,1.0,506.0,1.0,450.0,1.0,652.0,1.0,525.2708333333334,510.25,1.0,113.31170736231238
96,furniture.n.01,armchair.n.01,chair with a support on each side for arms,True,0,0.5,1.0,835.0,1.0,447.5,1.0,542.5,1.0,542.5,1.0,1324.0,1.0,395.5,1.0,494.0,1.0,512.0,1.0,927.0,1.0,575.0,1.0,487.0,1.0,582.0,1.0,624.0,1.0,482.0,1.0,460.0,1.0,816.5,1.0,1575.5,1.0,607.0,1.0,762.0,1.0,467.5,1.0,470.0,1.0,505.5,1.0,633.5,0.5,508.5,1.0,649.0,542.5,0.9791666666666666,283.21442944080064
90,furniture.n.01,armoire.n.01,a large wardrobe or cabinet; originally used for storing weapons,True,0,0.0,1.0,681.5,1.0,491.5,0.5,572.5,0.5,649.5,1.0,694.0,0.5,495.5,1.0,434.5,1.0,884.0,1.0,1006.0,0.5,563.0,0.5,792.0,0.5,648.0,0.5,666.0,1.0,439.0,1.0,601.5,0.5,763.0,0.5,1018.0,0.5,557.5,1.0,1036.5,1.0,415.5,0.5,559.0,1.0,417.5,1.0,616.0,0.5,555.0,0.5,648.1875,608.75,0.7291666666666666,185.83383253653622
5,hand_tool.n.01,awl.n.01,a pointed tool for marking surfaces or for punching small holes,True,1,0.5,1.0,663.5,1.0,710.5,0.5,614.5,0.0,803.5,0.5,702.5,0.5,523.0,1.0,902.0,1.0,955.5,0.5,914.5,0.5,588.0,0.5,560.5,1.0,919.0,1.0,681.0,0.5,563.5,1.0,462.0,1.0,752.5,0.5,954.5,0.5,508.5,0.5,1118.0,0.5,863.5,0.5,454.0,0.5,649.0,0.5,587.5,1.0,714.5,0.5,715.2291666666666,691.75,0.6458333333333334,178.71151024745868
105,furniture.n.01,baby_bed.n.01,a small bed for babies; enclosed by sides to prevent the baby from falling,False,1,1.0,0.5,523.5,1.0,505.0,1.0,412.5,1.0,474.0,0.5,550.0,1.0,420.5,1.0,450.5,1.0,533.5,1.0,955.0,1.0,486.0,1.0,873.5,1.0,575.0,1.0,495.5,1.0,416.5,1.0,479.5,1.0,748.5,1.0,893.0,1.0,655.0,1.0,730.0,1.0,544.0,1.0,492.5,1.0,690.5,1.0,788.0,1.0,579.5,1.0,594.6458333333334,538.75,0.9791666666666666,159.72098492484423
71,musical_instrument.n.01,bagpipe.n.01,a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone,True,1,0.5,1.0,1007.5,1.0,473.0,1.0,609.5,0.5,641.0,1.0,500.5,1.0,590.5,0.5,562.0,1.0,559.0,1.0,728.0,1.0,611.5,1.0,518.5,1.0,695.0,1.0,620.0,1.0,616.5,1.0,553.5,1.0,628.5,1.0,736.0,1.0,483.0,1.0,1460.0,1.0,683.5,1.0,567.0,0.5,662.0,0.5,643.5,1.0,873.0,0.0,667.6041666666666,618.25,0.875,206.7687207846669
78,musical_instrument.n.01,bass_clarinet.n.01,a large clarinet whose range is an octave below the B-flat clarinet,True,0,0.0,1.0,982.0,1.0,691.0,0.5,738.0,1.0,619.5,1.0,740.0,1.0,1061.0,1.0,643.5,1.0,581.5,1.0,598.0,1.0,748.5,1.0,938.5,1.0,1125.0,0.5,729.5,1.0,446.0,1.0,724.0,0.5,1075.0,1.0,1227.5,1.0,738.5,1.0,1580.5,1.0,1030.5,0.5,644.0,1.0,1190.0,1.0,828.0,0.5,949.5,1.0,859.5625,744.25,0.8958333333333334,261.15214258375704
53,musical_instrument.n.01,bass_horn.n.01,the lowest brass wind instrument,True,1,0.5,1.0,718.5,1.0,678.0,1.0,544.0,1.0,833.5,1.0,696.0,1.0,454.5,1.0,518.5,1.0,556.0,1.0,1432.0,1.0,686.5,1.0,617.5,1.0,1011.0,1.0,777.5,1.0,582.0,1.0,514.5,1.0,795.5,1.0,1038.0,1.0,842.0,1.0,1360.5,0.5,677.5,0.5,566.0,1.0,614.5,1.0,833.5,0.5,655.5,1.0,750.125,682.25,0.9375,248.1134141967093
73,musical_instrument.n.01,bassoon.n.01,a double-reed instrument; the tenor of the oboe family,False,1,0.5,0.5,919.5,0.5,602.0,1.0,450.0,1.0,1219.5,1.0,454.0,1.0,558.5,1.0,508.0,1.0,703.0,1.0,2077.0,1.0,626.0,1.0,924.5,0.5,1508.5,1.0,1129.5,1.0,499.0,1.0,483.5,1.0,613.5,1.0,703.5,1.0,602.0,1.0,1195.0,1.0,960.5,1.0,584.0,1.0,766.5,1.0,682.0,0.5,720.5,0.5,812.0833333333334,692.5,0.9166666666666666,386.29223187348344
126,clothing.n.01,bathrobe.n.01,a loose-fitting robe of towelling; worn after a bath or swim,True,0,0.0,1.0,693.5,1.0,558.5,0.5,526.5,0.5,621.5,1.0,549.5,1.0,403.0,1.0,670.5,1.0,464.0,1.0,759.0,1.0,567.0,1.0,573.5,1.0,611.0,1.0,674.0,1.0,570.0,1.0,480.0,1.0,529.0,1.0,836.0,1.0,445.5,1.0,1037.0,1.0,739.0,1.0,477.5,1.0,791.0,0.5,674.0,1.0,1422.0,1.0,653.0208333333334,592.25,0.9375,217.6154605664226
91,furniture.n.01,bed.n.01,a piece of furniture that provides a place to sleep,True,1,1.0,1.0,449.0,1.0,548.5,1.0,449.0,1.0,594.0,1.0,463.0,1.0,424.0,1.0,555.0,1.0,865.0,1.0,541.5,1.0,542.5,1.0,714.0,1.0,731.0,1.0,1361.0,1.0,502.5,1.0,425.0,0.5,499.5,1.0,630.5,1.0,707.5,1.0,765.5,1.0,577.5,1.0,670.5,1.0,538.0,1.0,617.0,1.0,368.5,1.0,605.8125,551.75,0.9791666666666666,202.0321655675478
93,furniture.n.01,bench.n.01,a long seat for more than one person,True,1,0.5,1.0,1117.5,1.0,587.0,1.0,575.0,1.0,1151.0,0.0,761.0,1.0,417.0,1.0,608.5,1.0,911.5,1.0,531.5,1.0,651.0,1.0,699.0,1.0,645.5,1.0,851.0,1.0,446.5,1.0,509.0,1.0,599.0,1.0,941.5,1.0,482.5,1.0,1369.0,1.0,680.0,1.0,614.5,1.0,638.0,0.5,657.0,1.0,578.0,1.0,709.2291666666666,641.75,0.9375,236.82299293329618
130,clothing.n.01,bikini.n.02,a woman's very brief bathing suit,True,0,1.0,1.0,395.0,1.0,426.0,1.0,372.5,1.0,450.5,1.0,408.5,0.5,456.0,1.0,383.0,1.0,449.5,1.0,657.5,1.0,426.5,1.0,541.0,1.0,537.0,1.0,597.5,1.0,365.5,1.0,449.0,1.0,634.5,1.0,494.5,1.0,367.5,1.0,958.5,1.0,424.0,1.0,450.5,1.0,428.0,1.0,508.5,1.0,455.5,1.0,484.8541666666667,450.0,0.9791666666666666,128.71729041371745
40,edible_fruit.n.01,bitter_orange.n.02,highly acidic orange used especially in marmalade,True,0,0.0,1.0,593.5,1.0,503.0,1.0,429.0,1.0,706.5,1.0,476.5,1.0,496.5,1.0,563.5,1.0,636.5,1.0,578.0,1.0,566.0,1.0,697.0,1.0,972.0,1.0,901.5,1.0,487.0,1.0,496.5,1.0,742.5,1.0,729.5,1.0,456.5,1.0,1704.0,1.0,1057.0,1.0,530.0,1.0,585.5,1.0,941.0,1.0,811.5,1.0,694.1875,589.5,1.0,278.27312250111714
120,clothing.n.01,blazer.n.01,lightweight single-breasted jacket; often striped in the colors of a club or school,True,0,0.6666666666666666,1.0,776.5,0.5,617.5,1.0,711.5,0.5,389.5,1.0,619.0,1.0,515.0,1.0,438.5,1.0,440.0,1.0,795.0,1.0,459.0,1.0,733.0,1.0,650.5,1.0,514.5,1.0,515.0,1.0,549.5,0.0,636.0,0.5,1055.5,0.5,505.5,1.0,819.5,1.0,392.0,1.0,761.0,1.0,420.0,1.0,477.0,1.0,473.0,1.0,594.3125,532.25,0.875,166.8966624109453
62,musical_instrument.n.01,bongo.n.01,a small drum; played with the hands,True,0,0.0,1.0,742.0,1.0,494.5,1.0,513.0,1.0,595.5,1.0,461.0,1.0,371.0,1.0,500.5,1.0,797.0,1.0,893.0,1.0,628.5,1.0,567.0,1.0,844.5,1.0,649.0,1.0,528.5,1.0,559.0,1.0,638.0,1.0,825.5,1.0,627.0,1.0,1131.5,1.0,586.5,1.0,639.5,1.0,664.5,1.0,494.5,1.0,600.5,1.0,639.6458333333334,613.75,1.0,165.62204741694177
50,edible_fruit.n.01,bosc.n.01,greenish-yellow pear,True,0,0.0,1.0,813.5,0.0,605.0,0.0,598.0,0.5,623.0,0.5,645.0,0.5,477.0,0.5,703.0,0.0,1020.5,0.5,915.0,0.5,625.5,0.5,1200.5,0.0,852.5,0.0,691.5,0.5,566.0,0.0,651.5,0.0,770.0,0.5,752.5,0.5,610.5,0.5,1023.0,0.0,575.0,0.5,572.0,0.0,544.0,0.5,653.0,0.0,629.5,0.5,713.2083333333334,648.25,0.2916666666666667,176.80355818932432
128,clothing.n.01,bow_tie.n.01,a man's tie that ties in a bow,False,0,0.3,0.5,742.0,1.0,768.5,1.0,443.5,1.0,796.0,1.0,578.5,1.0,396.5,1.0,566.5,1.0,623.5,0.5,736.0,1.0,589.0,1.0,897.0,1.0,710.0,1.0,646.5,1.0,551.5,0.5,684.0,1.0,1736.5,1.0,864.5,1.0,566.5,1.0,1306.5,1.0,705.0,1.0,581.0,1.0,630.0,1.0,855.5,1.0,957.0,1.0,747.1458333333334,694.5,0.9583333333333334,282.2839103966795
6,hand_tool.n.01,bradawl.n.01,an awl for making small holes for brads or small screws,True,0,0.0,1.0,611.0,0.5,567.0,0.5,619.0,0.0,868.5,0.5,714.5,0.0,462.5,0.5,704.0,0.5,1016.5,0.0,1058.5,0.5,584.5,1.0,1193.5,0.5,1039.5,0.5,809.0,0.0,538.5,0.5,767.0,1.0,934.5,0.5,1316.0,0.5,502.5,0.5,1059.0,0.5,668.5,0.5,670.0,0.5,749.0,0.0,1033.5,0.0,1379.5,0.0,827.75,758.0,0.3958333333333333,259.462068937622
123,clothing.n.01,brassiere.n.01,an undergarment worn by women to support their breasts,True,1,0.5,1.0,612.5,1.0,459.0,0.5,855.5,0.0,745.5,0.5,921.0,1.0,507.0,1.0,407.5,1.0,637.0,0.0,1459.5,1.0,552.5,1.0,966.0,0.5,1072.0,1.0,667.0,1.0,536.5,1.0,513.0,0.5,636.0,1.0,1249.0,1.0,640.0,1.0,875.0,1.0,855.0,1.0,475.0,1.0,754.0,1.0,658.0,1.0,1145.0,0.5,758.2708333333334,662.5,0.8125,269.7595539335091
28,hand_tool.n.01,brick_trowel.n.01,a trowel used in masonry,True,0,0.0,1.0,705.0,0.5,493.0,0.5,513.5,0.5,856.5,1.0,795.5,0.5,634.5,1.0,780.0,1.0,802.0,0.5,1076.5,1.0,640.0,1.0,901.5,1.0,958.0,1.0,668.5,0.5,781.5,1.0,557.0,0.5,723.5,1.0,1604.5,0.5,558.0,0.5,1112.0,1.0,618.0,0.5,442.5,0.5,660.5,1.0,920.0,0.0,754.0,0.5,773.1666666666666,738.75,0.7083333333333334,248.38358600580162
92,furniture.n.01,bunk_bed.n.01,beds built one above the other,True,0,0.5,1.0,510.0,1.0,475.0,1.0,466.0,1.0,676.0,1.0,544.0,1.0,498.0,1.0,797.0,0.5,577.5,1.0,1072.5,1.0,481.5,1.0,511.5,1.0,512.0,1.0,894.0,1.0,420.0,1.0,412.5,1.0,644.0,1.0,1167.0,1.0,552.0,1.0,1263.5,1.0,698.0,1.0,563.0,1.0,1126.0,0.5,535.5,1.0,709.0,1.0,671.0625,557.5,0.9583333333333334,251.5718979475977
118,clothing.n.01,business_suit.n.01,a suit of clothes traditionally worn by businessmen,True,0,1.0,1.0,465.5,1.0,417.5,1.0,506.0,1.0,461.0,1.0,638.5,1.0,543.0,1.0,445.5,1.0,712.5,1.0,468.5,1.0,468.5,1.0,549.0,1.0,462.5,1.0,549.0,1.0,463.5,0.5,641.0,1.0,603.5,1.0,1094.0,1.0,448.5,1.0,784.5,1.0,572.0,0.5,434.5,1.0,388.0,1.0,512.0,1.0,461.5,1.0,545.4166666666666,487.25,0.9583333333333334,151.71459666287785
81,furniture.n.01,cabinet.n.01,a piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display,True,1,1.0,1.0,710.5,1.0,488.5,1.0,481.5,1.0,517.0,1.0,484.0,0.5,472.5,1.0,663.5,1.0,474.5,1.0,646.0,1.0,599.5,1.0,770.5,1.0,672.5,1.0,651.0,1.0,438.5,1.0,593.5,1.0,783.0,1.0,1074.0,1.0,491.5,1.0,1124.5,1.0,887.5,1.0,593.0,1.0,686.5,1.0,624.0,1.0,567.0,1.0,645.6041666666666,611.75,0.9791666666666666,180.2429507254913
100,furniture.n.01,campstool.n.01,a folding stool,True,0,0.0,1.0,750.5,0.5,786.0,0.5,626.0,1.0,732.0,0.5,460.5,1.0,405.5,1.0,806.0,0.0,702.0,1.0,1071.5,1.0,684.0,1.0,516.0,1.0,981.5,1.0,759.0,1.0,568.0,0.5,672.0,1.0,986.0,1.0,1115.5,0.5,548.5,1.0,1321.0,0.5,704.0,1.0,660.0,1.0,976.0,0.5,892.5,1.0,911.0,0.5,776.4583333333334,741.25,0.7916666666666666,221.3525574962822
11,hand_tool.n.01,can_opener.n.01,a device for cutting cans open,True,1,0.5,1.0,739.5,1.0,475.0,1.0,645.5,0.5,990.0,1.0,603.0,0.5,336.5,1.0,593.0,1.0,890.0,0.5,912.5,0.5,572.5,1.0,888.0,1.0,1218.0,1.0,671.5,0.5,484.0,1.0,465.5,1.0,1057.5,1.0,1016.0,1.0,563.5,0.5,1287.0,0.5,742.0,1.0,477.0,1.0,550.5,1.0,512.0,1.0,806.5,0.5,729.0208333333334,658.5,0.8333333333333334,254.273452561482
134,clothing.n.01,cape.n.02,a sleeveless garment like a cloak but shorter,False,0,1.0,0.5,523.0,1.0,364.5,1.0,442.5,1.0,532.0,1.0,412.0,1.0,408.0,1.0,464.5,1.0,479.0,1.0,450.5,1.0,497.5,1.0,524.5,1.0,760.5,0.5,615.5,1.0,407.5,1.0,455.5,1.0,599.0,1.0,945.5,1.0,688.0,1.0,951.0,0.5,557.0,1.0,423.5,1.0,829.0,1.0,712.0,1.0,1082.0,0.0,588.5,523.75,0.9166666666666666,197.3713119544193
10,hand_tool.n.01,carpenter's_hammer.n.01,a hammer with a cleft at one end for pulling nails,True,0,0.5,1.0,617.5,1.0,521.5,1.0,423.0,1.0,534.0,1.0,593.5,1.0,370.5,1.0,552.5,1.0,551.0,1.0,541.0,1.0,548.0,1.0,506.5,1.0,819.0,0.5,524.5,1.0,603.5,1.0,556.5,1.0,679.0,1.0,1476.5,1.0,506.5,1.0,1199.0,1.0,629.0,1.0,505.0,1.0,680.5,0.5,707.0,1.0,1124.0,1.0,657.0416666666666,554.5,0.9583333333333334,258.4514047614917
26,hand_tool.n.01,carpenter's_square.n.01,a steel square used by carpenters; larger than a try square,True,0,0.0,1.0,862.5,1.0,758.0,0.5,644.0,1.0,762.0,0.5,644.0,1.0,601.5,1.0,537.5,1.0,863.0,1.0,770.5,1.0,599.0,1.0,1290.5,1.0,851.5,1.0,796.5,1.0,569.0,0.5,711.5,1.0,651.0,1.0,1806.5,0.5,562.0,1.0,1207.5,1.0,1116.0,1.0,558.0,0.5,681.5,1.0,714.5,1.0,939.5,0.5,812.3958333333334,736.25,0.875,292.4611820829601
104,furniture.n.01,cathedra.n.01,a throne that is the official chair of a bishop,False,0,0.3,0.5,669.0,0.5,684.0,0.5,530.0,0.5,597.0,1.0,647.5,0.5,767.5,1.0,988.5,1.0,1618.5,0.5,1126.0,1.0,717.5,0.5,1952.5,1.0,1401.5,1.0,1208.0,0.0,474.5,0.5,571.5,0.5,548.0,0.0,863.0,0.5,666.0,0.5,1489.0,0.5,986.0,0.5,930.0,1.0,664.0,1.0,1200.5,0.5,992.5,1.0,928.8541666666666,815.25,0.6458333333333334,386.25274669536026
95,furniture.n.01,chair.n.01,"a seat for one person, with a support for the back",True,1,1.0,1.0,527.0,1.0,503.0,1.0,515.0,1.0,382.5,1.0,620.5,1.0,607.5,1.0,445.0,1.0,514.0,1.0,1118.5,1.0,545.5,1.0,566.5,1.0,576.0,0.5,640.0,1.0,689.5,1.0,414.0,1.0,445.0,1.0,1146.0,1.0,701.0,1.0,727.5,1.0,630.0,1.0,381.0,1.0,519.0,1.0,493.0,0.5,469.5,1.0,590.6875,536.25,0.9583333333333334,192.16183241465126
42,edible_fruit.n.01,cherimoya.n.02,large tropical fruit with leathery skin and soft pulp; related to custard apples,False,0,0.3,0.5,797.0,0.5,618.0,1.0,811.5,1.0,563.5,1.0,736.0,0.5,905.5,1.0,762.5,0.5,716.0,1.0,1312.5,0.5,640.0,0.5,516.0,0.5,717.5,0.5,600.0,0.5,473.0,0.5,621.5,0.5,891.5,0.5,830.0,1.0,727.5,1.0,959.0,1.0,857.0,0.5,640.5,1.0,376.0,0.5,424.5,0.5,634.5,0.5,713.7916666666666,716.75,0.6875,198.43912201208596
33,edible_fruit.n.01,cherry.n.03,a red fruit with a single hard stone,True,1,0.5,1.0,538.0,1.0,494.5,1.0,396.5,1.0,1104.0,0.5,571.5,1.0,403.0,1.0,628.5,1.0,777.0,1.0,533.5,1.0,575.5,1.0,507.5,1.0,879.0,1.0,544.0,1.0,629.5,1.0,407.5,1.0,774.5,1.0,727.5,1.0,842.5,0.5,873.5,1.0,882.0,1.0,664.5,1.0,628.5,1.0,685.0,1.0,538.5,1.0,650.25,628.5,0.9583333333333334,178.13825846918675
83,furniture.n.01,chest_of_drawers.n.01,furniture with drawers for keeping clothes,True,1,0.5,1.0,1059.0,1.0,587.0,0.5,1399.0,0.5,517.0,1.0,669.5,1.0,384.5,1.0,872.5,1.0,516.5,1.0,1010.0,1.0,492.5,1.0,590.5,1.0,962.5,1.0,599.0,1.0,462.0,1.0,512.5,1.0,1187.5,0.5,1463.0,1.0,575.5,1.0,1743.0,1.0,698.0,1.0,531.5,1.0,502.0,0.5,798.0,1.0,699.0,1.0,784.6458333333334,634.25,0.9166666666666666,359.8378100576723
12,hand_tool.n.01,church_key.n.01,can opener that has a triangular pointed end that pierces the tops of cans,True,0,0.0,1.0,829.0,1.0,484.0,0.5,497.0,0.5,866.0,1.0,902.0,1.0,584.5,1.0,887.5,1.0,716.5,1.0,753.5,0.5,643.5,0.5,1211.0,0.5,756.0,1.0,1039.5,0.5,780.5,1.0,597.5,0.5,1054.5,0.5,1415.0,0.5,573.5,0.5,1368.5,1.0,1341.5,0.5,492.5,1.0,806.5,0.5,1101.5,0.5,1336.5,1.0,876.5833333333334,817.75,0.7291666666666666,295.4641031189475
77,musical_instrument.n.01,clarinet.n.01,a single-reed instrument with a straight tube,True,1,1.0,1.0,484.0,1.0,428.0,1.0,681.0,0.5,566.5,1.0,416.5,1.0,404.0,1.0,387.5,1.0,689.5,1.0,598.5,1.0,435.5,1.0,677.0,1.0,459.5,1.0,917.0,1.0,393.0,0.5,468.0,1.0,591.0,1.0,712.5,1.0,515.0,1.0,800.0,1.0,866.5,0.5,408.5,0.5,499.0,1.0,473.5,1.0,501.5,1.0,557.2083333333334,500.25,0.9166666666666666,154.51001913951328
38,edible_fruit.n.01,clementine.n.02,a mandarin orange of a deep reddish orange color and few seeds,True,0,0.0,1.0,962.5,1.0,803.5,1.0,613.0,0.5,978.5,1.0,571.0,1.0,439.5,1.0,571.5,1.0,1414.0,0.5,850.0,0.5,525.5,1.0,940.5,0.5,1595.5,0.5,723.0,1.0,460.0,1.0,579.0,1.0,590.0,1.0,713.5,1.0,684.0,1.0,2570.5,1.0,1005.5,1.0,746.0,0.0,1175.0,1.0,552.5,1.0,741.0,0.5,866.875,732.0,0.8333333333333334,463.846049469752
133,clothing.n.01,cloak.n.02,a loose outer garment,False,1,0.5,0.5,768.0,0.5,384.5,1.0,561.0,1.0,957.0,1.0,530.0,1.0,370.5,1.0,549.0,1.0,460.0,1.0,783.5,1.0,558.0,1.0,612.5,1.0,619.0,1.0,719.0,1.0,446.0,1.0,618.0,1.0,553.5,1.0,866.0,1.0,430.0,1.0,862.0,0.5,829.5,1.0,619.0,0.5,516.5,0.5,665.5,0.5,552.0,0.5,617.9166666666666,586.75,0.875,159.7437939644133
4,clothing.n.01,clothing.n.01,a covering designed to be worn on a person's body,True,0,0.4375,1.0,540.6666666666666,1.0,488.46666666666664,0.8666666666666667,448.96666666666664,1.0,766.1,0.8666666666666667,651.5666666666667,1.0,455.4,0.9666666666666667,484.3666666666667,1.0,711.1,0.9666666666666667,720.5,0.9666666666666667,579.9333333333333,0.9,636.6,0.9666666666666667,662.4333333333333,0.9666666666666667,708.4333333333333,1.0,476.8666666666667,0.9666666666666667,506.1,0.9666666666666667,547.5,1.0,793.4,1.0,594.6,1.0,889.6,1.0,644.1,0.9666666666666667,553.0666666666667,0.9333333333333333,597.4666666666667,0.9333333333333333,540.8666666666667,0.9333333333333333,559.9666666666667,0.9666666666666667,606.5861111111112,587.2666666666667,0.9638888888888887,114.93091557221369
121,clothing.n.01,coat.n.01,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors,True,1,1.0,1.0,497.0,1.0,472.0,1.0,591.0,0.5,839.0,1.0,577.5,1.0,654.5,1.0,668.0,1.0,630.5,0.5,720.0,1.0,900.5,1.0,1546.5,1.0,666.0,1.0,992.5,1.0,539.5,0.5,563.5,1.0,828.0,1.0,914.5,0.5,762.5,1.0,689.0,1.0,837.0,1.0,610.0,1.0,578.0,1.0,811.5,1.0,671.0,1.0,731.6458333333334,669.5,0.9166666666666666,221.94846048648063
88,furniture.n.01,coffee_table.n.01,low table where magazines can be placed and coffee or cocktails are served,True,0,0.0,1.0,983.5,1.0,663.5,1.0,443.0,1.0,883.0,1.0,537.5,1.0,391.0,1.0,798.5,1.0,589.0,1.0,854.0,1.0,676.5,1.0,1061.5,1.0,773.0,1.0,785.5,1.0,505.0,1.0,571.5,1.0,686.5,1.0,1416.5,1.0,665.5,1.0,1548.0,1.0,614.0,1.0,644.5,1.0,1081.5,1.0,702.5,1.0,511.5,1.0,766.1041666666666,681.5,1.0,284.9722709304808
74,musical_instrument.n.01,contrabassoon.n.01,the bassoon that is the largest instrument in the oboe family,False,0,0.3,0.5,895.0,1.0,869.5,1.0,529.0,1.0,569.0,1.0,733.5,1.0,440.5,1.0,539.5,1.0,910.5,1.0,934.0,1.0,650.5,1.0,1591.5,1.0,1300.5,1.0,1321.0,1.0,531.5,1.0,581.5,1.0,656.0,0.5,744.5,1.0,674.5,1.0,2445.0,1.0,784.5,0.5,510.5,1.0,964.0,0.5,800.5,0.5,721.0,1.0,862.3958333333334,739.0,0.9166666666666666,438.9852918989692
106,furniture.n.01,cradle.n.01,a baby bed with sides and rockers,False,0,0.3,0.5,742.5,1.0,610.0,0.5,850.0,0.0,684.0,0.5,850.0,1.0,350.5,1.0,379.5,1.0,539.0,1.0,1123.0,1.0,664.0,0.0,965.5,1.0,732.5,1.0,782.5,1.0,638.5,1.0,547.0,0.5,756.0,0.5,1104.0,0.0,746.0,1.0,1036.0,0.0,473.5,1.0,501.5,1.0,984.0,0.0,580.0,0.5,590.5,0.0,717.9166666666666,708.25,0.6458333333333334,214.9957869489472
30,hand_tool.n.01,crescent_wrench.n.01,an adjustable wrench designed to fit hexagonal nuts with the adjusting screw built into the head of the wrench,True,0,0.0,1.0,1076.5,0.5,672.5,1.0,631.5,1.0,1388.5,1.0,606.5,1.0,514.5,1.0,655.0,1.0,676.0,1.0,1576.5,1.0,624.0,1.0,622.5,1.0,763.0,1.0,750.0,1.0,647.5,0.5,644.0,1.0,868.0,1.0,753.0,1.0,858.5,1.0,1295.0,1.0,662.0,1.0,901.5,0.0,601.5,1.0,1008.0,0.5,1316.0,0.5,838.0,713.0,0.875,290.3202878980685
41,edible_fruit.n.01,custard_apple.n.02,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp,False,1,0.5,0.5,580.5,0.5,378.0,0.5,667.5,1.0,428.5,1.0,654.5,1.0,574.0,1.0,881.0,0.5,1047.0,1.0,829.5,1.0,731.5,0.5,795.5,1.0,909.0,1.0,665.0,1.0,645.5,1.0,562.5,1.0,886.5,1.0,1174.0,0.5,649.0,0.5,1268.5,1.0,606.5,0.5,470.5,1.0,650.0,1.0,501.0,1.0,592.0,1.0,714.4791666666666,652.25,0.8541666666666666,223.88969912255547
