,branch,synset,glossary,expert_certainty,old_bl_label,blness,accuracy,p1_rt,p1_acc,p2_rt,p2_acc,p3_rt,p3_acc,p4_rt,p4_acc,p5_rt,p5_acc,p6_rt,p6_acc,p7_rt,p7_acc,p8_rt,p8_acc,p9_rt,p9_acc,p10_rt,p10_acc,p11_rt,p11_acc,p12_rt,p12_acc,p13_rt,p13_acc,p14_rt,p14_acc,p15_rt,p15_acc,p16_rt,p16_acc,p17_rt,p17_acc,p18_rt,p18_acc,p19_rt,p19_acc,p20_rt,p20_acc,p21_rt,p21_acc,p22_rt,p22_acc,p23_rt,p23_acc,p24_rt,p24_acc,sample_mean_rt,sample_median_rt,sample_mean_acc,sample_std_deviation
59,musical_instrument.n.01,cymbal.n.01,a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together,False,1,0.5,0.5,944.5,1.0,533.5,0.5,507.0,1.0,990.5,1.0,639.5,1.0,394.5,1.0,431.5,1.0,716.5,1.0,517.0,1.0,722.0,1.0,1162.5,1.0,565.0,1.0,811.5,1.0,632.5,1.0,575.0,1.0,512.0,1.0,718.5,0.5,448.5,1.0,991.0,1.0,708.0,0.5,528.0,1.0,555.5,0.0,566.0,1.0,644.5,0.5,658.9583333333334,603.75,0.875,196.92996529701634
52,edible_fruit.n.01,damson.n.01,dark purple plum of the damson tree,True,0,0.0,1.0,629.0,0.5,641.5,0.5,630.5,1.0,1004.5,0.5,701.5,0.5,590.0,0.5,855.0,1.0,1100.0,1.0,1078.0,0.5,671.5,0.5,1809.0,1.0,877.5,0.5,927.5,0.0,544.0,0.0,558.0,1.0,954.5,0.5,1019.5,0.5,560.0,0.5,1340.0,0.5,909.0,0.5,562.0,1.0,933.0,0.0,807.0,1.0,802.0,0.5,854.3541666666666,831.0,0.5833333333333334,292.4107622761644
101,furniture.n.01,desk.n.01,a piece of furniture with a writing surface and usually drawers or other compartments,True,1,1.0,1.0,614.5,0.5,570.5,0.5,471.0,0.5,570.0,1.0,530.5,1.0,713.5,1.0,496.0,1.0,835.5,0.5,868.0,1.0,617.5,0.5,897.0,1.0,933.0,1.0,985.0,1.0,485.5,1.0,717.0,1.0,694.0,1.0,835.5,1.0,446.5,1.0,1354.5,1.0,695.0,1.0,442.0,1.0,982.0,1.0,609.5,1.0,536.0,1.0,704.1458333333334,655.75,0.8958333333333334,221.63211190024407
82,furniture.n.01,dresser.n.05,a cabinet with shelves,True,0,0.5,1.0,603.0,0.5,417.0,1.0,504.0,1.0,512.5,1.0,472.0,1.0,470.5,1.0,500.0,1.0,474.0,1.0,992.5,1.0,472.0,1.0,670.5,1.0,604.5,1.0,618.5,1.0,601.5,0.5,561.5,1.0,637.5,0.5,1122.0,0.5,835.0,1.0,1121.5,0.5,805.0,1.0,639.0,1.0,679.0,1.0,611.5,0.5,786.0,0.5,654.6041666666666,608.0,0.8541666666666666,197.89017480974616
61,musical_instrument.n.01,drum.n.01,a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end,True,1,1.0,1.0,765.0,1.0,513.5,1.0,454.5,1.0,508.5,1.0,471.0,1.0,321.5,1.0,417.5,1.0,577.5,1.0,884.5,1.0,599.0,1.0,479.0,1.0,933.0,1.0,517.0,1.0,406.5,1.0,490.5,0.5,499.0,1.0,557.5,1.0,837.5,1.0,674.0,1.0,479.5,1.0,476.0,1.0,624.5,1.0,484.0,1.0,460.0,1.0,559.6041666666666,503.75,0.9791666666666666,155.10676401354527
1,edible_fruit.n.01,edible_fruit.n.01,edible reproductive body of a seed plant especially one having sweet flesh,True,0,0.5909090909090909,1.0,481.1818181818182,1.0,447.22727272727275,1.0,470.27272727272725,1.0,729.0,0.9545454545454546,497.6818181818182,0.9545454545454546,428.27272727272725,1.0,460.8181818181818,1.0,637.2272727272727,1.0,736.5909090909091,1.0,512.8181818181819,1.0,546.9545454545455,1.0,566.8636363636364,0.9545454545454546,601.4545454545455,1.0,479.59090909090907,1.0,441.04545454545456,1.0,552.7272727272727,1.0,669.6818181818181,1.0,571.6818181818181,1.0,935.6818181818181,1.0,678.5,1.0,554.8636363636364,0.9545454545454546,616.6818181818181,0.9545454545454546,582.0909090909091,1.0,614.6363636363636,0.9090909090909091,575.5643939393939,560.8636363636364,0.9867424242424243,117.36928411282088
54,musical_instrument.n.01,euphonium.n.01,a bass horn (brass wind instrument) that is the tenor of the tuba family,True,0,0.0,1.0,828.0,1.0,636.5,0.5,608.0,1.0,638.5,0.5,803.0,0.5,793.5,0.5,697.0,1.0,745.5,1.0,798.5,0.5,603.0,1.0,744.0,0.5,900.5,0.5,731.5,1.0,744.0,0.5,816.0,1.0,1029.5,0.5,786.0,0.5,614.0,0.5,1499.5,0.5,741.0,0.5,603.5,0.5,635.0,1.0,612.0,1.0,656.5,1.0,761.0208333333334,742.5,0.7083333333333334,189.9401209515816
136,clothing.n.01,face_veil.n.01,a piece of more-or-less transparent material that covers the face,False,0,1.0,0.5,620.5,1.0,338.5,1.0,589.0,1.0,537.5,1.0,701.0,1.0,350.5,1.0,565.5,1.0,516.0,1.0,510.5,1.0,480.5,1.0,507.0,1.0,787.0,1.0,525.0,1.0,427.5,1.0,618.5,1.0,533.0,1.0,861.5,1.0,450.5,1.0,1460.0,1.0,891.5,1.0,538.5,0.5,604.5,1.0,689.0,0.5,721.0,1.0,617.6666666666666,552.0,0.9583333333333334,227.82781764471525
7,hand_tool.n.01,file.n.04,a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal,True,1,1.0,1.0,537.5,0.5,678.5,0.5,499.0,0.5,530.5,0.5,535.5,1.0,426.5,1.0,459.5,0.5,534.0,1.0,588.5,1.0,700.0,0.5,668.5,0.5,821.0,1.0,1031.5,1.0,497.0,0.5,555.5,0.5,673.5,1.0,893.5,0.5,475.0,0.5,1128.5,1.0,623.0,1.0,611.0,0.5,762.0,0.5,595.0,0.5,731.5,0.0,648.1666666666666,603.0,0.6666666666666666,177.04308408742887
86,furniture.n.01,floor_lamp.n.01,a lamp that stands on the floor,True,0,0.5,1.0,845.0,1.0,431.0,1.0,460.0,1.0,552.5,1.0,539.5,1.0,388.5,1.0,422.0,1.0,605.5,1.0,533.5,1.0,491.0,1.0,740.0,1.0,961.0,0.5,597.5,1.0,599.5,1.0,474.5,1.0,454.0,1.0,2352.5,1.0,570.5,1.0,711.0,1.0,611.0,1.0,484.5,1.0,527.5,1.0,597.5,1.0,1398.0,1.0,681.1458333333334,561.5,0.9791666666666666,415.76486559129177
79,musical_instrument.n.01,flute.n.01,a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown,True,1,1.0,1.0,449.5,1.0,461.0,1.0,396.5,1.0,495.0,1.0,957.5,1.0,359.0,1.0,428.5,1.0,495.5,1.0,718.5,1.0,473.0,1.0,473.0,1.0,523.5,1.0,511.5,1.0,375.5,1.0,446.5,1.0,570.0,1.0,744.5,1.0,480.0,1.0,1158.0,1.0,507.0,1.0,395.0,1.0,461.5,1.0,626.5,0.5,434.5,1.0,539.2083333333334,476.5,0.9791666666666666,187.822008518858
3,furniture.n.01,furniture.n.01,furnishings that make a room or other area ready for occupancy,True,0,0.5769230769230769,1.0,532.6153846153846,0.8076923076923077,550.8846153846154,0.8846153846153846,503.46153846153845,0.9230769230769231,790.9230769230769,0.7692307692307693,619.7307692307693,0.9615384615384616,474.5,0.9230769230769231,535.3076923076923,0.9615384615384616,732.6538461538462,0.8076923076923077,727.0384615384615,0.9230769230769231,569.4615384615385,0.9615384615384616,651.2307692307693,1.0,672.8461538461538,1.0,757.3846153846154,0.9615384615384616,473.2307692307692,0.9230769230769231,576.3461538461538,0.9615384615384616,631.0769230769231,0.8846153846153846,863.8846153846154,0.9615384615384616,534.8846153846154,0.9230769230769231,1029.3076923076924,0.9615384615384616,663.5,0.8846153846153846,555.6538461538462,0.9230769230769231,674.2307692307693,0.8076923076923077,536.8846153846154,0.8846153846153846,454.38461538461536,0.8846153846153846,629.6426282051283,598.0384615384615,0.9118589743589741,137.01829928882077
48,edible_fruit.n.01,granadilla.n.04,the egg-shaped edible fruit of tropical American vines related to passionflowers,True,0,0.0,1.0,681.5,1.0,480.0,0.5,758.0,1.0,973.0,0.5,1268.5,1.0,1014.5,1.0,606.0,1.0,608.0,1.0,1141.5,1.0,761.5,1.0,1010.5,0.5,1385.5,1.0,1017.5,1.0,522.0,0.5,598.5,1.0,724.0,1.0,1130.0,0.5,494.0,1.0,1805.0,0.5,792.0,1.0,437.0,1.0,784.0,0.5,577.0,1.0,699.0,0.0,844.5208333333334,759.75,0.8125,331.09441314626054
58,musical_instrument.n.01,grand_piano.n.01,a piano with the strings on a horizontal harp-shaped frame; usually supported by three legs,True,0,0.5,1.0,433.0,1.0,470.5,1.0,412.5,1.0,460.5,1.0,450.0,1.0,395.0,1.0,444.5,1.0,400.5,1.0,479.5,1.0,568.5,1.0,492.5,1.0,565.5,1.0,553.5,1.0,372.5,1.0,568.5,1.0,460.5,1.0,651.0,1.0,473.5,1.0,842.0,1.0,772.0,1.0,406.0,1.0,805.0,1.0,527.0,1.0,596.5,1.0,525.0208333333334,476.5,1.0,129.75557952036849
32,edible_fruit.n.01,granny_smith.n.01,apple with a green skin and hard tart flesh,True,0,0.0,1.0,1088.5,1.0,537.5,0.5,609.0,0.5,557.5,0.5,620.5,1.0,352.5,0.5,582.0,1.0,606.5,0.0,756.0,0.5,675.5,0.5,1043.5,0.5,1016.5,0.5,911.0,0.5,523.0,0.5,806.0,0.5,721.0,0.5,824.5,1.0,698.5,0.5,1338.5,0.5,903.0,1.0,530.5,0.5,551.0,0.5,857.0,0.5,829.0,0.5,747.4375,709.75,0.5833333333333334,225.32137977738066
43,edible_fruit.n.01,grape.n.01,any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters,True,1,0.5,1.0,661.0,0.5,414.0,1.0,403.0,1.0,506.5,1.0,480.0,1.0,493.0,1.0,387.5,1.0,747.0,0.5,657.0,1.0,503.0,1.0,473.5,1.0,661.0,1.0,571.5,1.0,620.5,1.0,437.5,1.0,743.5,1.0,719.0,1.0,614.5,1.0,867.5,1.0,826.5,1.0,524.5,1.0,836.0,1.0,446.0,1.0,728.0,1.0,596.7291666666666,593.0,0.9583333333333334,147.08234747380735
67,musical_instrument.n.01,guitar.n.01,a stringed instrument usually having six strings; played by strumming or plucking,True,1,1.0,1.0,475.0,1.0,626.5,0.5,408.5,1.0,799.5,1.0,412.0,1.0,386.0,1.0,414.0,1.0,860.0,1.0,490.0,1.0,451.0,1.0,440.5,1.0,461.0,1.0,690.5,1.0,409.0,1.0,453.0,0.5,396.0,1.0,1824.5,1.0,542.0,1.0,694.5,1.0,706.0,1.0,403.0,1.0,409.5,1.0,549.0,1.0,457.5,1.0,573.2708333333334,459.25,0.9583333333333334,299.77415336443255
9,hand_tool.n.01,hammer.n.02,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,True,1,1.0,1.0,392.5,1.0,471.5,1.0,427.0,1.0,532.0,1.0,467.5,1.0,332.0,1.0,436.5,1.0,481.0,1.0,546.0,1.0,427.0,1.0,640.0,1.0,630.0,1.0,567.5,1.0,382.5,1.0,392.0,1.0,420.5,1.0,450.0,1.0,452.0,1.0,1025.0,1.0,423.0,1.0,439.0,1.0,564.0,1.0,389.5,1.0,408.5,0.5,487.3541666666667,444.5,0.9791666666666666,138.87846416191033
0,hand_tool.n.01,hand_tool.n.01,a tool used with workers' hands,True,0,0.5555555555555556,1.0,629.3461538461538,1.0,539.0384615384615,1.0,544.7692307692307,1.0,658.0,0.9230769230769231,676.5,0.9615384615384616,458.53846153846155,0.8846153846153846,513.8461538461538,0.9615384615384616,931.6153846153846,0.8846153846153846,749.8076923076923,0.9615384615384616,611.2307692307693,0.9230769230769231,640.8846153846154,0.9615384615384616,769.4230769230769,0.9615384615384616,717.2307692307693,1.0,485.34615384615387,1.0,533.1923076923077,1.0,608.6538461538462,1.0,1039.8076923076924,1.0,613.9230769230769,0.9615384615384616,1077.576923076923,0.9615384615384616,723.5384615384615,0.8461538461538461,482.0769230769231,0.8461538461538461,606.3461538461538,0.9230769230769231,638.6923076923077,0.8846153846153846,725.5384615384615,0.8846153846153846,665.6217948717949,634.0192307692307,0.9471153846153846,161.9766090407499
18,hand_tool.n.01,handsaw.n.01,a saw used with one hand for cutting wood,True,0,0.5,1.0,554.0,1.0,387.5,1.0,620.0,0.5,681.5,0.5,742.5,1.0,340.0,1.0,443.5,1.0,477.0,1.0,606.0,1.0,574.5,1.0,443.0,1.0,474.5,1.0,682.5,1.0,367.0,1.0,431.5,1.0,577.0,1.0,844.5,1.0,737.5,1.0,1454.5,1.0,765.5,1.0,402.0,1.0,460.0,1.0,498.0,1.0,645.0,0.5,592.0416666666666,564.25,0.9375,230.20821939140728
65,musical_instrument.n.01,harp.n.01,a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers,True,1,0.5,1.0,590.5,1.0,500.5,1.0,965.0,0.5,593.0,0.5,654.5,1.0,513.0,1.0,544.0,1.0,535.5,1.0,777.0,1.0,558.5,1.0,603.5,1.0,496.0,1.0,654.0,1.0,479.5,1.0,501.5,1.0,589.5,1.0,685.0,1.0,687.5,1.0,949.5,1.0,596.5,1.0,494.0,0.5,658.5,1.0,763.5,1.0,1001.5,0.5,641.3125,594.75,0.9166666666666666,151.93010496105853
55,musical_instrument.n.01,harpsichord.n.01,a clavier with strings that are plucked by plectra mounted on pivots,False,1,0.5,0.5,741.5,1.0,487.5,0.5,614.0,1.0,649.0,1.0,1224.0,0.5,478.5,0.5,779.5,1.0,1057.5,0.5,1022.0,1.0,707.5,0.5,780.5,0.5,1094.0,1.0,856.5,1.0,555.0,1.0,469.0,1.0,565.0,1.0,1107.0,1.0,661.0,1.0,1544.5,0.0,738.5,1.0,693.0,1.0,768.5,1.0,697.0,1.0,761.0,0.5,793.8125,740.0,0.8125,261.79023350517804
34,edible_fruit.n.01,heart_cherry.n.02,large heart-shaped sweet cherry with soft flesh,True,0,0.0,1.0,557.0,1.0,465.5,1.0,467.5,1.0,751.5,1.0,753.0,1.0,487.0,1.0,482.0,1.0,831.0,1.0,908.0,1.0,635.5,1.0,929.5,1.0,794.5,1.0,766.5,1.0,429.5,1.0,512.5,1.0,1151.0,1.0,1080.0,1.0,470.5,1.0,1135.5,1.0,896.5,1.0,474.0,1.0,599.0,1.0,594.0,0.5,687.5,0.5,702.4375,661.5,0.9583333333333334,225.35524190563623
76,musical_instrument.n.01,heckelphone.n.01,an oboe pitched an octave below the ordinary oboe,True,0,0.0,1.0,635.0,0.5,497.5,0.5,560.5,0.5,714.5,0.5,697.0,0.5,633.5,1.0,708.0,1.0,768.5,1.0,1387.5,1.0,680.5,0.5,812.5,1.0,959.5,0.5,752.0,0.5,594.5,1.0,579.0,1.0,1078.0,0.5,884.0,1.0,791.5,0.5,905.5,0.5,759.0,0.5,555.0,1.0,627.0,1.0,524.5,1.0,634.0,0.5,739.1041666666666,702.5,0.7291666666666666,199.04467376897352
60,musical_instrument.n.01,high-hat_cymbal.n.01,cymbals that are operated by a foot pedal,False,0,0.3,0.5,695.5,1.0,839.0,1.0,650.5,0.5,767.5,1.0,802.0,1.0,404.0,1.0,568.5,1.0,718.0,1.0,1113.0,1.0,783.0,0.5,1026.5,1.0,1135.0,1.0,1204.0,0.5,611.5,1.0,537.5,1.0,579.5,1.0,2606.5,1.0,586.0,1.0,1566.5,0.0,1301.5,1.0,422.0,1.0,700.5,0.5,781.5,1.0,756.5,1.0,881.5,762.0,0.875,465.08117571021944
84,furniture.n.01,highboy.n.01,a tall chest of drawers divided into two sections and supported on four legs,True,0,0.0,1.0,609.5,0.5,459.0,1.0,575.5,0.5,556.5,0.0,957.5,1.0,855.0,1.0,874.5,0.0,729.5,0.0,1159.5,1.0,752.0,0.0,1755.5,0.0,984.0,0.5,895.5,0.0,559.5,0.0,505.0,0.0,802.0,0.5,1014.5,0.5,691.0,0.5,1617.5,0.0,697.5,0.5,559.0,0.5,801.5,1.0,597.5,0.0,794.5,0.5,825.125,773.25,0.3958333333333333,319.8952698863367
119,clothing.n.01,jacket.n.01,a short coat,True,1,1.0,1.0,427.5,1.0,429.5,1.0,482.0,1.0,756.5,1.0,465.0,1.0,446.0,1.0,608.5,1.0,562.0,1.0,839.0,1.0,801.0,1.0,497.0,1.0,527.0,1.0,594.5,1.0,373.0,1.0,466.0,1.0,432.0,1.0,764.5,1.0,445.0,1.0,863.5,1.0,467.0,1.0,462.5,1.0,488.0,1.0,483.5,1.0,448.5,1.0,547.0416666666666,482.75,1.0,146.0747959591002
36,edible_fruit.n.01,key_lime.n.01,small yellow-green limes of southern Florida,True,0,0.5,1.0,513.0,1.0,526.0,1.0,385.0,0.5,468.5,1.0,644.5,1.0,495.5,1.0,445.0,1.0,549.0,1.0,768.5,0.5,579.5,1.0,627.0,1.0,715.0,1.0,730.0,1.0,380.0,1.0,554.0,1.0,621.5,1.0,2140.5,1.0,484.0,1.0,892.5,1.0,720.0,1.0,515.0,0.5,552.0,1.0,456.5,1.0,497.0,1.0,635.8125,550.5,0.9375,344.09524757278166
85,furniture.n.01,lamp.n.02,a piece of furniture holding one or more electric light bulbs,True,1,1.0,1.0,389.0,1.0,377.0,1.0,461.5,1.0,572.0,1.0,366.0,1.0,360.0,1.0,381.0,1.0,712.0,1.0,856.5,1.0,494.0,1.0,423.5,1.0,450.0,1.0,607.0,1.0,342.5,1.0,404.5,1.0,403.5,1.0,445.0,1.0,382.5,1.0,740.5,1.0,491.0,1.0,371.0,1.0,515.5,1.0,362.0,1.0,514.5,1.0,475.9166666666667,434.25,1.0,134.79667995739447
35,edible_fruit.n.01,lime.n.06,the green acidic fruit of any of various lime trees,True,1,1.0,1.0,695.5,1.0,687.0,1.0,452.5,1.0,468.0,0.5,436.0,1.0,446.0,1.0,448.0,1.0,471.0,1.0,547.5,1.0,513.0,1.0,825.0,1.0,569.0,1.0,597.0,1.0,498.5,1.0,412.5,1.0,535.5,1.0,498.5,1.0,455.0,1.0,790.5,1.0,579.5,1.0,535.0,1.0,467.0,1.0,574.0,1.0,464.5,1.0,540.25,505.75,0.9791666666666666,110.54646868683972
132,clothing.n.01,long_johns.n.01,warm underwear with long legs,False,0,0.3,0.5,603.0,0.5,549.0,1.0,517.5,1.0,655.0,1.0,918.0,1.0,386.0,1.0,743.5,1.0,488.0,1.0,830.5,1.0,537.5,1.0,1022.5,0.5,830.5,1.0,748.0,1.0,650.5,1.0,532.5,1.0,679.0,1.0,1009.0,1.0,600.5,1.0,1357.0,1.0,796.0,1.0,709.5,1.0,682.0,1.0,654.5,0.0,907.0,0.5,725.2708333333334,680.5,0.8958333333333334,212.07822486088696
98,furniture.n.01,love_seat.n.01,small sofa that seats two people,True,0,0.0,1.0,552.5,1.0,546.0,1.0,485.0,1.0,498.5,1.0,859.0,1.0,629.0,1.0,565.0,1.0,493.5,1.0,1117.0,1.0,642.0,1.0,885.5,1.0,767.5,1.0,655.0,1.0,591.5,0.5,511.5,1.0,843.0,1.0,1096.5,0.5,688.0,1.0,1883.0,1.0,576.5,1.0,539.0,1.0,642.5,1.0,604.0,1.0,772.0,1.0,726.7916666666666,635.5,0.9583333333333334,302.739984455978
66,musical_instrument.n.01,lyre.n.01,a harp used by ancient Greeks for accompaniment,True,0,0.0,1.0,826.5,0.5,439.0,1.0,662.5,1.0,597.0,1.0,1651.0,1.0,484.5,1.0,595.0,1.0,1018.0,0.5,854.0,1.0,547.5,1.0,743.5,1.0,873.0,1.0,821.0,1.0,622.5,0.5,655.0,1.0,604.5,0.5,727.5,1.0,774.0,1.0,1272.0,1.0,1364.0,1.0,718.5,1.0,733.0,1.0,409.0,0.5,869.5,0.0,785.9166666666666,730.25,0.8541666666666666,293.53240939003456
37,edible_fruit.n.01,mandarin.n.05,a somewhat flat reddish-orange loose skinned citrus of China,True,1,0.5,1.0,654.0,1.0,364.0,1.0,561.5,1.0,688.0,0.5,399.0,1.0,332.0,1.0,372.0,1.0,795.5,1.0,496.5,1.0,570.0,1.0,732.0,1.0,489.0,1.0,658.0,0.5,392.0,1.0,507.0,1.0,636.0,1.0,1091.0,1.0,527.0,1.0,690.0,1.0,748.0,1.0,449.0,1.0,466.0,0.5,864.5,0.5,814.5,1.0,595.6875,565.75,0.9166666666666666,186.60501254393392
45,edible_fruit.n.01,melon.n.01,any of numerous fruits of the gourd family having a hard rind and sweet juicy flesh,True,1,0.5,1.0,529.0,1.0,550.5,1.0,363.0,1.0,470.0,1.0,434.5,1.0,512.5,1.0,377.0,1.0,511.0,1.0,722.0,1.0,490.0,1.0,459.5,1.0,514.5,1.0,516.5,1.0,375.0,1.0,418.5,1.0,450.5,1.0,568.5,1.0,707.5,1.0,850.5,1.0,574.5,1.0,417.0,1.0,473.5,1.0,388.0,1.0,463.0,1.0,505.6875,481.75,1.0,117.1876804346437
112,clothing.n.01,miniskirt.n.01,a very short skirt,True,0,1.0,1.0,442.5,1.0,360.5,1.0,396.5,1.0,423.5,1.0,426.5,1.0,318.5,1.0,366.0,1.0,458.5,1.0,537.5,1.0,483.0,1.0,514.5,1.0,450.0,1.0,517.5,1.0,399.5,1.0,458.0,1.0,802.5,1.0,521.5,1.0,427.5,1.0,911.0,1.0,566.0,1.0,517.0,1.0,400.0,1.0,540.5,1.0,481.0,1.0,488.3125,458.25,1.0,130.79080645958197
114,clothing.n.01,muffler.n.02,a scarf worn around the neck,True,0,0.0,1.0,628.5,0.0,603.5,0.5,710.5,0.5,861.5,0.0,1407.0,0.5,515.0,0.5,588.5,0.0,715.0,0.0,1089.0,1.0,637.0,0.0,1645.0,1.0,986.0,0.5,592.0,1.0,640.5,0.5,513.0,0.5,760.0,0.5,1246.5,0.5,642.0,0.5,1075.5,0.0,766.0,0.5,487.5,0.0,661.5,0.0,644.5,0.0,582.0,1.0,791.5625,653.0,0.3958333333333333,300.7995979017028
72,musical_instrument.n.01,musette.n.01,a small bagpipe formerly popular in France,True,0,0.0,1.0,892.5,0.5,623.5,1.0,568.5,0.5,791.0,1.0,789.0,1.0,731.0,0.5,841.5,0.5,864.5,0.5,1442.0,0.5,880.0,0.5,1023.0,1.0,1588.5,0.5,926.5,0.5,647.5,1.0,583.0,0.5,1118.0,0.5,1342.0,1.0,1086.0,1.0,1350.5,1.0,946.0,0.5,660.5,0.5,725.5,1.0,908.0,1.0,1524.0,0.5,952.1875,886.25,0.7083333333333334,301.1972419073732
2,musical_instrument.n.01,musical_instrument.n.01,any of various devices or contrivances that can be used to produce musical tones or sounds,True,0,0.6666666666666666,1.0,698.0,0.9642857142857143,528.75,1.0,496.75,0.9642857142857143,590.9285714285714,0.9285714285714286,606.9285714285714,0.9285714285714286,503.2142857142857,1.0,491.67857142857144,0.9642857142857143,651.25,0.9285714285714286,653.0714285714286,0.9285714285714286,564.7142857142857,0.9642857142857143,701.6071428571429,1.0,596.6428571428571,1.0,703.2857142857143,0.9642857142857143,498.64285714285717,0.9642857142857143,502.82142857142856,0.9642857142857143,584.0714285714286,1.0,842.5,0.9642857142857143,629.2857142857143,0.9642857142857143,863.5357142857143,1.0,765.0,0.8928571428571429,486.10714285714283,0.9642857142857143,623.8928571428571,0.9642857142857143,583.8571428571429,0.8928571428571429,591.1071428571429,1.0,614.9017857142858,593.875,0.9627976190476191,106.14328256709007
8,hand_tool.n.01,nailfile.n.01,a small flat file for shaping the nails,True,0,0.0,1.0,663.5,0.5,858.0,0.0,570.0,1.0,566.5,0.5,504.0,1.0,377.0,1.0,908.5,1.0,584.5,1.0,2007.5,0.5,599.0,0.5,871.5,1.0,858.0,1.0,667.0,1.0,626.0,0.5,528.0,0.5,642.0,1.0,932.5,1.0,987.5,0.5,853.0,1.0,749.0,1.0,642.0,1.0,910.0,1.0,819.0,1.0,703.5,0.0,767.8125,685.25,0.7708333333333334,308.43344756379287
127,clothing.n.01,necktie.n.01,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front,False,1,1.0,0.5,616.5,1.0,382.5,0.5,598.0,0.5,559.5,1.0,425.0,1.0,323.5,1.0,686.0,1.0,602.0,1.0,810.5,1.0,689.5,1.0,491.5,0.5,460.5,1.0,757.5,1.0,503.0,1.0,573.5,1.0,700.5,1.0,1596.0,1.0,519.0,1.0,1651.0,0.5,588.0,1.0,556.5,1.0,567.5,0.5,455.0,0.5,612.0,0.5,655.1875,580.75,0.8541666666666666,319.41620703279506
16,hand_tool.n.01,needlenose_pliers.n.01,small pliers with long thin jaws for fine work,True,0,0.0,1.0,824.0,0.5,675.0,0.5,600.0,0.5,697.5,0.5,748.0,1.0,457.5,1.0,829.0,0.5,1056.0,1.0,670.0,1.0,495.5,1.0,1337.5,1.0,1092.0,1.0,669.0,1.0,834.5,1.0,871.0,1.0,791.0,1.0,1300.5,0.5,755.5,1.0,1371.5,1.0,905.0,1.0,690.5,1.0,1570.0,1.0,905.0,0.5,1006.0,0.5,881.3125,826.5,0.8333333333333334,283.6214490455467
75,musical_instrument.n.01,oboe.n.01,a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece,True,1,0.5,1.0,727.5,0.0,386.5,1.0,606.0,0.0,475.5,0.5,423.5,1.0,523.5,1.0,406.5,1.0,698.0,0.5,568.0,1.0,572.5,1.0,801.0,1.0,737.0,1.0,953.5,1.0,620.0,1.0,605.0,0.0,499.0,1.0,1251.0,0.5,712.0,1.0,744.5,1.0,904.0,1.0,407.5,1.0,613.5,0.5,616.5,0.5,457.5,1.0,637.8958333333334,609.75,0.7708333333333334,201.18734396872085
